              total        used        free      shared  buff/cache   available
Mem:           7879        5184         317         234        2377        2163
Swap:          2047          59        1988
top - 09:38:50 up 11:24,  1 user,  load average: 0.32, 0.41, 0.47
Tasks: 360 total,   1 running, 343 sleeping,  16 stopped,   0 zombie
%Cpu(s): 13.0 us,  4.3 sy,  0.0 ni, 79.7 id,  0.0 wa,  0.0 hi,  2.9 si,  0.0 st
MiB Mem :   7879.2 total,    310.2 free,   5186.7 used,   2382.2 buff/cache
MiB Swap:   2048.0 total,   1988.9 free,     59.1 used.   2156.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1895 karthik   20   0 4300908 517412 116276 S  18.8   6.4   5:17.82 gnome-s+
  30710 karthik   20   0 4736236 176424  93644 S  18.8   2.2   0:54.74 chrome
  26847 karthik   20   0  615364 268996  87124 S  12.5   3.3   1:34.71 chrome
  32931 karthik   20   0   11964   3824   3168 R  12.5   0.0   0:00.02 top
   1147 root     -51   0       0      0      0 S   6.2   0.0   0:55.17 irq/37-+
   1622 root      20   0  268464 108892  68748 S   6.2   1.3   5:43.09 Xorg
  10254 karthik   20   0 2916972 436736 115240 S   6.2   5.4   2:19.34 Web Con+
  13636 karthik   20   0 2483400 156716  96380 S   6.2   1.9   0:12.87 Web Con+
  30727 karthik   20   0 4644956 134728  76744 S   6.2   1.7   0:04.05 chrome
  32642 root      20   0       0      0      0 I   6.2   0.0   0:00.08 kworker+
      1 root      20   0  169264  12620   8480 S   0.0   0.2   0:02.80 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     10 root      20   0       0      0      0 S   0.0   0.0   0:00.23 ksoftir+
